begin,open,close,high,low,value,volume,end,year,ticker,company_name
2016-05-18,98.88,98.8,99.09,98.5,194566984.8,1971160,2016-05-18 23:59:59,2016,RTKM,Ростелеком
2016-05-19,98.32,96.11,98.47,96.11,144703365.8,1494340,2016-05-19 23:59:59,2016,RTKM,Ростелеком
2016-05-20,96.27,95.47,97.0,94.9,166857499.2,1747850,2016-05-20 23:59:59,2016,RTKM,Ростелеком
2016-05-23,95.47,96.46,97.28,94.55,103921338.4,1080440,2016-05-23 23:59:59,2016,RTKM,Ростелеком
2016-05-24,96.94,97.06,97.39,95.74,122279019.8,1265270,2016-05-24 23:59:59,2016,RTKM,Ростелеком
2016-05-25,96.91,96.63,98.19,96.63,139661454.2,1432290,2016-05-25 23:59:59,2016,RTKM,Ростелеком
2016-05-26,96.67,95.18,97.25,94.8,172214160.3,1794140,2016-05-26 23:59:59,2016,RTKM,Ростелеком
2016-05-27,95.15,97.2,97.57,95.04,99738060.5,1034740,2016-05-27 23:59:59,2016,RTKM,Ростелеком
2016-05-30,97.6,97.2,97.6,96.01,91364695.0,943370,2016-05-30 23:59:59,2016,RTKM,Ростелеком
2016-05-31,97.22,97.5,100.0,96.42,741268501.9,7548920,2016-05-31 23:59:59,2016,RTKM,Ростелеком
2016-06-01,97.5,97.09,98.79,96.75,221369760.9,2273960,2016-06-01 23:59:59,2016,RTKM,Ростелеком
2016-06-02,96.73,95.9,97.37,95.5,131486169.9,1366490,2016-06-02 23:59:59,2016,RTKM,Ростелеком
2016-06-03,96.89,96.1,97.19,95.57,163540726.6,1693410,2016-06-03 23:59:59,2016,RTKM,Ростелеком
2016-06-06,96.7,96.42,97.18,96.32,130778143.6,1350010,2016-06-06 23:59:59,2016,RTKM,Ростелеком
2016-06-07,96.42,97.09,97.96,96.14,279465466.9,2880390,2016-06-07 23:59:59,2016,RTKM,Ростелеком
2016-06-08,97.1,97.3,97.4,96.43,97898972.1,1008530,2016-06-08 23:59:59,2016,RTKM,Ростелеком
2016-06-09,97.5,96.15,97.5,96.15,85557289.0,887530,2016-06-09 23:59:59,2016,RTKM,Ростелеком
2016-06-10,96.21,95.01,96.47,94.8,144295889.5,1513190,2016-06-10 23:59:59,2016,RTKM,Ростелеком
2016-06-14,95.19,95.09,95.78,94.32,127933585.3,1347950,2016-06-14 23:59:59,2016,RTKM,Ростелеком
2016-06-15,95.19,95.6,96.19,94.64,232978468.9,2440780,2016-06-15 23:59:59,2016,RTKM,Ростелеком
2016-06-16,95.9,94.2,95.94,92.6,240247904.1,2566390,2016-06-16 23:59:59,2016,RTKM,Ростелеком
2016-06-17,94.63,92.8,94.8,92.8,169319721.1,1812720,2016-06-17 23:59:59,2016,RTKM,Ростелеком
2016-06-20,93.1,93.0,94.07,92.7,107512103.8,1148470,2016-06-20 23:59:59,2016,RTKM,Ростелеком
2016-06-21,93.63,93.55,94.11,92.77,145714083.4,1559920,2016-06-21 23:59:59,2016,RTKM,Ростелеком
2016-06-22,93.5,93.87,93.98,93.05,119108497.0,1272690,2016-06-22 23:59:59,2016,RTKM,Ростелеком
2016-06-23,93.56,93.8,94.0,92.84,85575943.2,914470,2016-06-23 23:59:59,2016,RTKM,Ростелеком
2016-06-24,87.55,93.1,94.69,86.7,263730519.8,2852690,2016-06-24 23:59:59,2016,RTKM,Ростелеком
2016-06-27,93.0,92.64,93.4,92.0,98065752.0,1059750,2016-06-27 23:59:59,2016,RTKM,Ростелеком
2016-06-28,92.98,91.83,93.56,91.22,167710755.9,1820420,2016-06-28 23:59:59,2016,RTKM,Ростелеком
2016-06-29,91.6,91.88,92.59,91.4,136519922.5,1485550,2016-06-29 23:59:59,2016,RTKM,Ростелеком
2016-06-30,91.9,92.2,92.56,91.4,74691917.3,812080,2016-06-30 23:59:59,2016,RTKM,Ростелеком
2016-07-01,92.4,91.5,92.4,91.44,121003294.0,1315490,2016-07-01 23:59:59,2016,RTKM,Ростелеком
2016-07-04,92.38,91.95,92.95,91.45,206567446.1,2241460,2016-07-04 23:59:59,2016,RTKM,Ростелеком
2016-07-05,91.7,91.9,92.09,91.54,179604170.7,1953540,2016-07-05 23:59:59,2016,RTKM,Ростелеком
2016-07-06,91.9,92.01,92.28,91.58,232489864.2,2531710,2016-07-06 23:59:59,2016,RTKM,Ростелеком
2016-07-07,87.5,88.49,91.0,87.4,480158226.2,5401430,2016-07-07 23:59:59,2016,RTKM,Ростелеком
2016-07-08,88.1,87.8,88.74,87.0,145982341.2,1664710,2016-07-08 23:59:59,2016,RTKM,Ростелеком
2016-07-11,87.51,87.35,88.66,87.18,195775099.4,2231160,2016-07-11 23:59:59,2016,RTKM,Ростелеком
