begin,open,close,high,low,value,volume,end,year,ticker,company_name
2020-01-03,321.0,322.1,322.85,320.65,837486743.0,2600480,2020-01-03 23:59:59,2020,MTSS,МТС
2020-01-06,322.7,323.45,323.45,321.3,396055461.5,1227790,2020-01-06 23:59:59,2020,MTSS,МТС
2020-01-08,323.45,328.15,328.5,321.7,1236334353.5,3801350,2020-01-08 23:59:59,2020,MTSS,МТС
2020-01-09,318.4,324.3,324.4,315.65,1196089802.5,3722390,2020-01-09 23:59:59,2020,MTSS,МТС
2020-01-10,324.15,319.4,324.15,319.25,1195854472.0,3723770,2020-01-10 23:59:59,2020,MTSS,МТС
2020-01-13,319.4,319.45,320.5,316.65,948947158.0,2979930,2020-01-13 23:59:59,2020,MTSS,МТС
2020-01-14,319.65,317.3,321.4,317.2,858587028.5,2687460,2020-01-14 23:59:59,2020,MTSS,МТС
2020-01-15,317.0,318.65,319.55,315.4,697688247.0,2195450,2020-01-15 23:59:59,2020,MTSS,МТС
2020-01-16,318.65,319.8,319.8,317.0,584029748.5,1833270,2020-01-16 23:59:59,2020,MTSS,МТС
2020-01-17,319.95,321.15,322.0,317.75,840943498.0,2620480,2020-01-17 23:59:59,2020,MTSS,МТС
2020-01-20,322.15,327.2,327.2,321.95,894565341.0,2756260,2020-01-20 23:59:59,2020,MTSS,МТС
2020-01-21,326.0,328.7,330.5,323.6,1077258405.5,3298990,2020-01-21 23:59:59,2020,MTSS,МТС
2020-01-22,329.6,333.8,334.15,329.0,1340313740.5,4032200,2020-01-22 23:59:59,2020,MTSS,МТС
2020-01-23,332.0,329.95,334.9,326.05,780243607.0,2354220,2020-01-23 23:59:59,2020,MTSS,МТС
2020-01-24,330.5,336.45,336.45,330.5,737256630.0,2211060,2020-01-24 23:59:59,2020,MTSS,МТС
2020-01-27,335.5,326.75,336.0,325.1,1338190038.0,4067820,2020-01-27 23:59:59,2020,MTSS,МТС
2020-01-28,327.0,327.25,331.7,325.65,784888703.5,2390990,2020-01-28 23:59:59,2020,MTSS,МТС
2020-01-29,327.5,328.5,328.75,326.25,511085875.5,1560240,2020-01-29 23:59:59,2020,MTSS,МТС
2020-01-30,328.0,330.5,332.5,324.6,900021760.5,2728670,2020-01-30 23:59:59,2020,MTSS,МТС
2020-01-31,331.1,326.4,333.5,326.0,978147955.0,2964730,2020-01-31 23:59:59,2020,MTSS,МТС
2020-02-03,325.45,331.95,332.2,324.7,965903834.5,2926080,2020-02-03 23:59:59,2020,MTSS,МТС
2020-02-04,331.9,332.95,336.1,330.55,869449457.0,2608760,2020-02-04 23:59:59,2020,MTSS,МТС
2020-02-05,333.3,331.4,335.5,330.1,1592768683.5,4783830,2020-02-05 23:59:59,2020,MTSS,МТС
2020-02-06,333.1,331.0,334.5,329.45,869913019.0,2623300,2020-02-06 23:59:59,2020,MTSS,МТС
2020-02-07,332.15,331.0,334.15,327.55,1391238480.5,4202980,2020-02-07 23:59:59,2020,MTSS,МТС
2020-02-10,331.0,330.7,332.8,326.85,1000033766.5,3031340,2020-02-10 23:59:59,2020,MTSS,МТС
2020-02-11,330.0,332.7,334.15,329.6,952929672.5,2870580,2020-02-11 23:59:59,2020,MTSS,МТС
2020-02-12,333.0,339.0,340.45,331.05,1208784787.0,3604850,2020-02-12 23:59:59,2020,MTSS,МТС
2020-02-13,339.65,337.8,340.15,336.65,904411635.5,2674090,2020-02-13 23:59:59,2020,MTSS,МТС
2020-02-14,338.1,340.55,341.0,338.0,834431088.0,2458000,2020-02-14 23:59:59,2020,MTSS,МТС
2020-02-17,340.4,341.0,342.6,339.3,330017741.5,967070,2020-02-17 23:59:59,2020,MTSS,МТС
2020-02-18,340.7,341.4,342.3,337.3,636832400.0,1876110,2020-02-18 23:59:59,2020,MTSS,МТС
2020-02-19,341.5,348.1,348.9,341.1,1039717969.0,3007420,2020-02-19 23:59:59,2020,MTSS,МТС
2020-02-20,349.4,347.5,352.45,346.95,985399287.5,2815220,2020-02-20 23:59:59,2020,MTSS,МТС
2020-02-21,347.45,348.0,353.05,344.25,977559730.0,2807220,2020-02-21 23:59:59,2020,MTSS,МТС
2020-02-25,345.45,337.5,348.0,337.5,1495758831.0,4358160,2020-02-25 23:59:59,2020,MTSS,МТС
2020-02-26,337.0,339.0,342.7,330.4,1491025963.5,4446780,2020-02-26 23:59:59,2020,MTSS,МТС
2020-02-27,336.6,329.0,338.8,326.0,1447815201.5,4367030,2020-02-27 23:59:59,2020,MTSS,МТС
2020-02-28,321.0,320.5,333.3,307.25,2480255921.5,7711250,2020-02-28 23:59:59,2020,MTSS,МТС
2020-03-02,330.0,327.2,332.65,314.1,2165856879.5,6656020,2020-03-02 23:59:59,2020,MTSS,МТС
2020-03-03,333.4,328.25,335.4,325.05,2169537598.0,6598960,2020-03-03 23:59:59,2020,MTSS,МТС
2020-03-04,325.1,328.75,328.85,319.25,1225477824.0,3773780,2020-03-04 23:59:59,2020,MTSS,МТС
2020-03-05,331.55,329.55,331.55,324.5,1076688927.0,3281090,2020-03-05 23:59:59,2020,MTSS,МТС
2020-03-06,326.5,318.8,328.05,311.8,2387532062.0,7514710,2020-03-06 23:59:59,2020,MTSS,МТС
2020-03-10,300.0,294.8,321.35,293.0,3875551921.0,12715460,2020-03-10 23:59:59,2020,MTSS,МТС
2020-03-11,299.5,293.3,301.2,283.1,2317571183.0,7913610,2020-03-11 23:59:59,2020,MTSS,МТС
2020-03-12,287.1,272.95,299.9,271.7,3474151627.5,12340640,2020-03-12 23:59:59,2020,MTSS,МТС
2020-03-13,275.75,269.0,293.55,266.0,3823957592.0,13747560,2020-03-13 23:59:59,2020,MTSS,МТС
2020-03-16,270.75,267.1,272.9,255.0,1937563794.5,7378810,2020-03-16 23:59:59,2020,MTSS,МТС
2020-03-17,263.1,268.45,272.0,256.2,1451961445.5,5512210,2020-03-17 23:59:59,2020,MTSS,МТС
2020-03-18,262.2,256.75,268.4,253.35,1429721748.0,5494090,2020-03-18 23:59:59,2020,MTSS,МТС
2020-03-19,259.0,265.5,266.95,250.55,2518883393.0,9636330,2020-03-19 23:59:59,2020,MTSS,МТС
2020-03-20,270.8,276.5,283.3,270.35,4025692582.5,14561840,2020-03-20 23:59:59,2020,MTSS,МТС
2020-03-23,269.9,262.1,276.5,261.0,3038411172.0,11384080,2020-03-23 23:59:59,2020,MTSS,МТС
2020-03-24,270.0,280.0,280.0,268.85,2561500700.5,9333940,2020-03-24 23:59:59,2020,MTSS,МТС
2020-03-25,281.0,278.35,287.85,269.5,3546422679.5,12718830,2020-03-25 23:59:59,2020,MTSS,МТС
